,brick row,shoe column,shoe row,results
486,15,1,1,8.7239014632506e-08
487,15,1,10,3.976094260044557e-07
488,15,1,11,4.906862472735657e-07
489,15,1,12,6.126536838884623e-07
490,15,1,13,7.749701756256116e-07
491,15,1,14,9.947575039681291e-07
492,15,1,15,1.2982440201141618e-06
493,15,1,16,1.7267372351928292e-06
494,15,1,17,2.3473889731844807e-06
495,15,1,18,3.273423311672304e-06
496,15,1,2,1.0062996991932055e-07
497,15,1,3,1.166912583128822e-07
498,15,1,4,1.3608848435204437e-07
499,15,1,5,1.5968809424707055e-07
500,15,1,6,1.886315074916809e-07
501,15,1,7,2.2443849761961097e-07
502,15,1,8,2.691577502693709e-07
503,15,1,9,3.255880337251471e-07
504,16,2,1,7.56247765286912e-08
505,16,2,10,3.0364252666009647e-07
506,16,2,11,3.667416950758257e-07
507,16,2,12,4.4707544338772943e-07
508,16,2,13,5.505998856880787e-07
509,16,2,14,6.858065639815083e-07
510,16,2,15,8.650355742517489e-07
511,16,2,16,1.106593879567592e-06
512,16,2,17,1.43827800531786e-06
513,16,2,18,1.9034075982031669e-06
514,16,2,2,8.636130871040768e-08
515,16,2,3,9.90703960312404e-08
516,16,2,4,1.1420319941922995e-07
517,16,2,5,1.3233501937987248e-07
518,16,2,6,1.5420734053964142e-07
519,16,2,7,1.8078412504790338e-07
520,16,2,8,2.1333153399484162e-07
521,16,2,9,2.535310177360436e-07
522,16,3,1,5.8524657640929624e-08
523,16,3,10,2.3512508920911937e-07
524,16,3,11,2.8401951810086254e-07
525,16,3,12,3.4628061419191893e-07
526,16,3,13,4.26532959684343e-07
527,16,3,14,5.313724971223247e-07
528,16,3,15,6.703892414353212e-07
529,16,3,16,8.578184328564592e-07
530,16,3,17,1.1152888993675412e-06
531,16,3,18,1.476535553834739e-06
532,16,3,2,6.683622707702253e-08
533,16,3,3,7.667546947162262e-08
534,16,3,4,8.839197286310843e-08
535,16,3,5,1.0243157744672878e-07
536,16,3,6,1.1936899687329174e-07
537,16,3,7,1.399515093553051e-07
538,16,3,8,1.6516084702798264e-07
539,16,3,9,1.9630101740974598e-07
540,16,4,1,8.909686187402388e-08
541,16,4,10,3.6019955074028183e-07
542,16,4,11,4.3564130522501433e-07
543,16,4,12,5.318985493819214e-07
544,16,4,13,6.56257148190049e-07
545,16,4,14,8.191538463694769e-07
546,16,4,15,1.0358395779958175e-06
547,16,4,16,1.3290873649818963e-06
548,16,4,17,1.7337430786913686e-06
549,16,4,18,2.3046181332083336e-06
550,16,4,2,1.0179389615787773e-07
551,16,4,3,1.1683482684859815e-07
552,16,4,4,1.347588947624364e-07
553,16,4,5,1.562547860391361e-07
554,16,4,6,1.822116341667584e-07
555,16,4,7,2.1378756287186235e-07
556,16,4,8,2.5250702353489657e-07
557,16,4,9,3.0039935979497565e-07
558,16,1,1,6.651899895686821e-08
559,16,1,10,2.691580134102579e-07
560,16,1,11,3.2558835078185486e-07
561,16,1,12,3.9760900331798856e-07
562,16,1,13,4.906859621872171e-07
563,16,1,14,6.126539778826727e-07
564,16,1,15,7.749701756261269e-07
565,16,1,16,9.94757503968445e-07
566,16,1,17,1.2982438267651971e-06
567,16,1,18,1.7267370019558938e-06
568,16,1,2,7.600304088504458e-08
569,16,1,3,8.723891646633312e-08
570,16,1,4,1.0062995656841048e-07
571,16,1,5,1.1669137414832132e-07
572,16,1,6,1.360884843520762e-07
573,16,1,7,1.596880942472862e-07
574,16,1,8,1.8863150749152023e-07
575,16,1,9,2.2443849761952476e-07
576,17,2,1,5.8718321172272165e-08
577,17,2,10,2.1333175939586426e-07
578,17,2,11,2.535312855423679e-07
579,17,2,12,3.036422276740742e-07
580,17,2,13,3.667415137999574e-07
581,17,2,14,4.4707569824502775e-07
582,17,2,15,5.505999346541656e-07
583,17,2,16,6.858066280310758e-07
584,17,2,17,8.65035532426699e-07
585,17,2,18,1.1065938544525323e-06
586,17,2,2,6.650488840711118e-08
587,17,2,3,7.562469604397165e-08
588,17,2,4,8.636130309379181e-08
589,17,2,5,9.90705008029638e-08
590,17,2,6,1.1420320650640987e-07
591,17,2,7,1.3233502787919822e-07
592,17,2,8,1.5420735080113265e-07
593,17,2,9,1.8078413752852077e-07
594,17,3,1,4.543780445658399e-08
595,17,3,10,1.651610215323675e-07
596,17,3,11,1.9630122476280664e-07
597,17,3,12,2.3512485769853989e-07
598,17,3,13,2.8401937771843586e-07
599,17,3,14,3.4628081159848365e-07
600,17,3,15,4.2653299764348036e-07
601,17,3,16,5.313725467881947e-07
602,17,3,17,6.703892090688778e-07
603,17,3,18,8.578184134230443e-07
604,17,3,2,5.146501205863884e-08
605,17,3,3,5.8524595355793486e-08
606,17,3,4,6.683622272848283e-08
607,17,3,5,7.667555055898419e-08
608,17,3,6,8.839197835089673e-08
609,17,3,7,1.0243158402830807e-07
610,17,3,8,1.1936900482073898e-07
611,17,3,9,1.3995151902073855e-07
612,17,4,1,6.912230371615758e-08
613,17,4,10,2.525072903180945e-07
614,17,4,11,3.003996770951149e-07
615,17,4,12,3.601991962209716e-07
616,17,4,13,4.3564108997615336e-07
617,17,4,14,5.318988527380223e-07
618,17,4,15,6.562572070273565e-07
619,17,4,16,8.191539235625949e-07
620,17,4,17,1.035839528754481e-06
621,17,4,18,1.3290873354572953e-06
622,17,4,2,7.831891280269763e-08
623,17,4,3,8.909676704812915e-08
624,17,4,4,1.0179388951194714e-07
625,17,4,5,1.168349504042692e-07
626,17,4,6,1.347589031584517e-07
627,17,4,7,1.5625479611666004e-07
628,17,4,8,1.8221164634674017e-07
629,17,4,9,2.137875777019448e-07
630,17,1,1,5.1600823166871803e-08
631,17,1,10,1.8863170678699108e-07
632,17,1,11,2.2443873468341043e-07
633,17,1,12,2.6915774851239246e-07
