,brick row,shoe column,shoe row,results
443,15,4,12,6.128425188659949e-07
444,14,1,4,2.5255041407956746e-07
445,10,4,3,7.752371836940384e-07
446,14,2,10,6.559010025916205e-07
447,9,2,6,3.40011243341779e-06
448,18,3,2,2.6787458123870956e-08
449,16,4,1,6.65258168820554e-08
450,13,2,15,4.836001624167487e-06
451,11,2,12,7.107755497070607e-06
452,15,2,14,1.058156737885341e-06
453,11,3,14,1.3721504707925519e-05
454,16,1,7,2.1382139073283727e-07
455,9,1,13,0.00017324536367913887
456,5,1,2,2.3730946375499415e-05
457,6,1,18,4.165029096265355e-05
458,18,2,6,5.6855610834915854e-08
459,11,4,3,4.90820788148417e-07
460,7,1,1,3.1325267981042656e-06
461,5,3,5,8.78900595311327e-05
462,11,2,11,4.836004040185605e-06
463,12,3,12,2.6665539186083335e-06
464,7,1,6,2.3730940685217968e-05
465,8,4,2,1.7276214848267986e-06
466,12,2,7,8.272486508816103e-07
467,3,1,17,4.364656618355705e-06
468,14,2,3,1.729547484875401e-07
469,12,1,6,8.194051180676345e-07
470,18,4,1,2.7965493722826654e-08
471,7,1,7,4.165025907342629e-05
472,2,2,6,0.00077403688472655
473,8,4,15,0.014242387475297312
474,11,2,16,5.4436910199519005e-05
475,8,4,16,0.014242369218708174
476,13,1,16,9.319941909138713e-06
477,3,1,5,0.013449596365086134
478,18,4,17,3.37722670421378e-07
479,12,4,17,3.166764291797639e-05
480,9,3,18,0.013258445371981934
481,15,3,6,1.5963895051386934e-07
482,11,4,16,6.124411918280934e-05
483,7,4,12,0.0054094091907940615
484,17,3,3,5.657960461724792e-08
485,17,2,6,1.0926491202118807e-07
486,4,2,13,5.443692939841465e-05
487,1,4,10,7.5142658365896674e-06
488,15,2,10,4.276331147190124e-07
489,9,3,15,0.0006295908604446054
490,15,1,7,3.004556163843062e-07
491,9,4,7,4.7079340726943495e-06
492,8,2,6,7.107754842722867e-06
493,5,2,14,0.00011053008789045315
494,10,3,17,0.0006295909072014849
495,4,3,4,0.00020758435959281461
496,15,3,9,2.7448014544954675e-07
497,18,1,9,1.0752979258493891e-07
498,4,1,4,0.000445129782736467
499,2,1,17,2.3057922210204153e-06
500,18,2,7,6.522158504276986e-08
501,12,2,16,1.7423820074891413e-05
502,10,3,12,1.3721497299429468e-05
503,16,3,12,3.3462730457154214e-07
504,5,4,5,0.00013446259880190226
505,5,1,4,7.9944537002251e-05
506,10,4,16,0.000354372322947135
507,5,3,9,0.013258477935066001
508,5,1,18,1.4477473940742163e-05
509,13,4,4,2.692129825807584e-07
510,3,1,14,1.4477473668570559e-05
511,14,2,18,7.107759225426845e-06
512,13,3,6,3.346273187759546e-07
513,2,4,13,7.014592647769169e-06
514,5,2,10,0.01302489126934162
515,8,3,4,2.6665535958177094e-06
516,6,3,9,0.0006295905351883566
517,6,1,7,0.00017324527842926612
518,3,4,2,0.0003543723554398911
519,4,4,16,1.0920677418405906e-05
520,6,3,15,0.00020758471859543142
521,15,3,11,4.1214614194868693e-07
522,14,2,16,3.4001146614399985e-06
523,2,2,12,1.0865455476730044e-05
524,12,2,13,4.836001278822537e-06
525,17,3,16,5.134010876916672e-07
526,13,4,2,1.886639882875719e-07
527,8,1,15,0.013449602936508289
528,4,3,17,5.58264615190036e-06
529,15,4,4,1.361083975844187e-07
530,13,4,16,7.0145916093506895e-06
531,9,2,4,1.8196393009317157e-06
532,18,4,7,6.003414038522348e-08
533,14,3,11,6.476448673975328e-07
534,13,4,6,3.977080152038516e-07
535,11,1,10,4.364659417241508e-06
536,18,1,17,4.5167940788235554e-07
537,10,3,9,3.7951253333889886e-06
538,9,1,5,3.1325262144026135e-06
539,9,2,5,2.4579256776472705e-06
540,5,2,16,2.9651871884581942e-05
541,7,4,16,0.0012213151040743877
542,13,3,17,8.543648345329182e-06
543,18,4,3,3.550847310946865e-08
544,17,1,7,1.5627595909691282e-07
545,9,2,15,0.000774035842030842
546,13,3,3,1.8972910465551186e-07
547,14,3,6,2.272415357125522e-07
548,4,2,12,0.00011053000728921436
549,17,1,18,1.3296050609791996e-06
550,3,1,11,7.994467661511342e-05
551,2,2,11,1.7423832740340245e-05
552,15,2,5,1.7295491933112575e-07
553,8,2,17,0.003755675093705709
554,17,1,13,4.3573913594614914e-07
555,16,3,4,8.544841855154212e-08
556,4,1,5,0.0014470275132108421
557,4,2,7,0.01302490396363703
558,11,1,1,4.357389551543157e-07
559,4,1,12,0.0001732454158934839
560,5,1,12,0.001447030549986463
561,13,3,12,1.425751200462871e-06
562,18,3,18,3.5325912129738836e-07
563,6,2,8,0.00025921864134614955
564,6,2,13,0.0037556772476903125
565,7,1,18,0.00017324549534866932
566,17,3,5,7.412406936643366e-08
567,13,1,3,3.0045530850953363e-07
568,8,1,3,3.132523096726513e-06
569,1,2,9,1.198891407321068e-05
570,13,1,10,1.3296057902834286e-06
571,8,3,11,8.789016237288204e-05
572,8,3,16,0.013258446438209072
573,7,2,12,0.003755661946551491
574,2,3,18,1.0771374205712424e-06
575,15,3,3,9.901755944630175e-08
576,2,3,17,1.4257518228678002e-06
577,4,2,2,5.443689361425273e-05
578,15,1,6,2.525504140796066e-07
579,4,2,14,2.965187188472094e-05
580,15,3,14,8.286055265007241e-07
581,2,4,3,0.014242368192030981
582,7,3,15,0.0033717007017402888
583,15,1,17,3.1325277681200165e-06
584,16,1,17,1.7345120490492906e-06
585,16,1,12,5.32030656855135e-07
586,11,2,17,0.00011053000890258913
587,1,2,7,3.745674641116172e-05
588,13,1,9,1.036196246625065e-06
589,18,1,18,5.638135667395851e-07
590,12,2,8,1.058156235748322e-06
591,7,1,17,0.0004451305270784328
592,11,2,14,1.7423818884904038e-05
593,6,2,17,5.443691383543972e-05
594,1,1,5,0.00030628383929553186
595,13,2,5,3.508093820016916e-07
596,11,3,6,8.286051068188411e-07
597,1,3,5,0.00014283411891374
598,14,1,13,1.7345123073189311e-06
599,5,4,17,1.795772967807022e-05
600,10,4,11,1.0920681574831034e-05
601,4,4,5,0.0012213116627321165
602,5,1,15,7.994464554310165e-05
603,9,2,3,1.375166241442499e-06
604,7,3,2,2.6665543301421336e-06
605,4,3,12,8.78901286979843e-05
606,13,1,4,3.602729770455517e-07
607,13,2,1,1.7295493809795967e-07
608,5,4,15,6.124414540357198e-05
609,2,4,12,1.09206722632616e-05
610,4,1,13,7.994464554378093e-05
611,11,4,9,2.348785314700327e-06
612,8,4,12,0.0003543720310455258
613,13,2,18,1.742381857591048e-05
614,17,1,14,5.320309602895565e-07
615,14,4,12,9.951462304525718e-07
616,9,2,14,0.0002592187696887585
617,3,3,4,0.0033716864174661285
618,10,1,13,4.1650278208587355e-05
619,17,1,8,1.8223828080449302e-07
620,12,3,1,1.897293143772781e-07
621,17,4,3,6.652574607853712e-08
622,10,1,4,1.3296043393223338e-06
623,17,2,12,2.904637934976732e-07
624,13,2,3,2.425362296579709e-07
625,11,4,7,1.2988221494077434e-06
626,9,2,2,1.0581563244600213e-06
627,5,3,13,0.0002075847798713975
628,16,4,9,2.2448059613970048e-07
629,15,3,7,1.897292991023467e-07
630,16,3,8,1.5963895051391818e-07
631,2,1,2,0.005610637596829637
632,13,4,8,6.128425477791317e-07
633,10,4,12,1.795771809810716e-05
634,1,3,14,1.3256869495559446e-06
635,15,1,5,2.1382139073280463e-07
636,9,4,5,2.348784972575517e-06
637,16,1,13,6.564379274737964e-07
638,18,3,13,1.3054830994178967e-07
639,7,2,18,0.00011053005773273432
640,8,2,18,0.0007740372927986244
641,4,3,7,0.013258477934529537
642,13,1,11,1.7345132193606963e-06
643,12,2,4,4.276326601457946e-07
644,4,4,14,3.166765478051755e-05
645,13,2,12,1.8196394743202428e-06
646,15,3,5,1.3527792035924423e-07
647,17,4,10,1.886641661679173e-07
648,16,3,16,8.28605526501291e-07
649,1,1,10,9.961615146396574e-06
650,14,4,11,7.752388147843005e-07
651,11,1,18,0.00044513015355317545
652,12,1,1,3.00455640720678e-07
653,3,1,4,0.005610635533053005
654,1,3,2,0.009122817509669277
655,7,2,5,1.0865452742285373e-05
656,15,4,9,3.256614662554958e-07
657,9,1,8,9.319936536471826e-06
658,18,4,4,4.023507040473237e-08
659,18,1,6,7.004963533242035e-08
660,8,3,8,1.3721497299340718e-05
661,5,3,10,0.013258454474166589
662,4,4,15,1.7957731565518905e-05
663,13,4,9,7.752380281471396e-07
664,7,1,13,0.013449601876641747
665,1,3,6,6.047513654197018e-05
666,11,4,6,9.95146198099381e-07
667,18,3,1,2.3823444667720278e-08
668,13,1,7,6.56437640172179e-07
669,5,1,5,0.00017324525548694078
670,18,2,8,7.518260235009875e-08
671,11,3,18,0.00020758452568418002
672,4,4,2,6.124410185583901e-05
673,5,1,13,0.00044513077747006165
674,15,4,13,7.7523835937276e-07
675,16,4,13,4.908215117081765e-07
676,4,2,6,0.0037556619465122544
